unit,lat,lng,home_station,posture
M00,40.235881061897544,-75.25452168483473,0,at station
M01,40.22380146087351,-75.27070567818868,0,at station
M02,40.2087545042623,-75.50030547906616,1,at station
M03,40.11197826228549,-75.28633673485204,2,at station
M04,40.13884019821477,-75.10156289238103,3,at station
M05,40.144668941313874,-75.10352397090485,3,at station
M06,40.36739780271217,-75.49551892077643,4,at station
M07,40.25526196813462,-75.62697626483967,5,at station
M08,40.25795188400633,-75.60686981434162,5,at station
M09,40.266932755301376,-75.36470952170104,6,at station
M10,40.282495474511194,-75.36595325947617,6,at station
M11,40.13277990605471,-75.41309013605293,7,at station
M12,40.126386075315686,-75.39628700657099,7,at station
M13,40.10215085927432,-75.11615026921078,8,at station
M14,40.0962244142086,-75.13075765517567,8,at station
M15,40.004429795446235,-75.28476602864879,9,at station
M16,40.01546144516745,-75.28458180549889,9,at station
M17,40.131407468776125,-75.1956846370016,10,at station
M18,40.14791243555781,-75.1945956362108,10,at station
M19,40.12192825878524,-75.33424535736884,11,at station
M20,40.12071610955277,-75.34845015312337,11,at station
M21,40.116259882631645,-75.3379002948514,11,at station
M22,40.12774901286641,-75.53417307707284,-1,roaming
M23,40.12802811548047,-75.21337165732521,-1,roaming
M24,40.10196417976478,-75.3294924966427,-1,roaming
M25,39.997654577789376,-75.27029017089241,-1,roaming
M26,40.103686832820216,-75.10640905174581,-1,roaming
M27,40.27350604971675,-75.62313530949346,-1,roaming
M28,40.05569258466236,-75.3128094668861,-1,roaming
M29,40.18457430532863,-75.1432281577566,-1,roaming
