unit,lat,lng,home_station,posture
M00,40.25196862129666,-75.24751106806966,0,at station
M01,40.25624488747917,-75.25088801896686,0,at station
M02,40.20498147048919,-75.50721193575438,1,at station
M03,40.09182265729092,-75.31762335326704,2,at station
M04,40.14204169889145,-75.07432160556183,3,at station
M05,40.13791861863355,-75.07722938370837,3,at station
M06,40.38859980021012,-75.49785871691681,4,at station
M07,40.25462965315563,-75.63956315696026,5,at station
M08,40.25268439886162,-75.61722737641372,5,at station
M09,40.28918393589992,-75.35713335483999,6,at station
M10,40.2867970309831,-75.34850215045451,6,at station
M11,40.19675624499815,-75.38809297753704,7,at station
M12,40.18522941178207,-75.4045002419903,7,at station
M13,40.09056128727503,-75.13108454057266,8,at station
M14,40.087693793880426,-75.14491802584308,8,at station
M15,40.00180797255294,-75.25994178467748,9,at station
M16,39.99678529823428,-75.2386046933116,9,at station
M17,40.178559156252454,-75.17266833542439,10,at station
M18,40.17416235683284,-75.18837394797232,10,at station
M19,40.12384084116367,-75.35359646831246,11,at station
M20,40.126224369919846,-75.34641355428175,11,at station
M21,40.12367545610546,-75.35667003444392,11,at station
M22,40.12054532845465,-75.11193432841002,-1,roaming
M23,40.12843631655647,-75.2470334520398,-1,roaming
M24,40.020450896160405,-75.31722588698966,-1,roaming
M25,40.11378112772409,-75.43449185286546,-1,roaming
M26,40.04139622215467,-75.27821337467665,-1,roaming
M27,40.0857036354902,-75.24146142841379,-1,roaming
M28,40.2232380983411,-75.27413115135916,-1,roaming
M29,40.19210341193017,-75.09818232833501,-1,roaming
